"Warszawa","Krakow","Lodz","Wroclaw","Poznan","Gdansk","Szczecin","Bydgoszcz","Lublin","Bialystok","Katowice","Gdynia","Czestochowa","Radom","Torun","Rzeszow","Sosnowiec","Kielce","Gliwice","Olsztyn","Zabrze","Bielsko-Biala","Bytom","Zielona Gora","Rybnik","Ruda Slaska","Opole","Tychy","Gorzow Wielkopolski","Elblag","Dabrowa Gornicza","Plock","Walbrzych","Wloclawek","Tarnow","Chorzow","Koszalin","Kalisz","Legnica","Grudziadz","Jaworzno","Slupsk","Jastrzebie-Zdroj","Nowy Sacz","Jelenia Gora","Siedlce","Myslowice","Konin","Piotrkow Trybunalski","Suwalki","Siemianowice Slaskie","Leszno","Zory","Zamosc","Lomza","Chelm","Przemysl","Biala Podlaska","Piekary Slaskie","Ostroleka","Swietochlowice","Skierniewice","Tarnobrzeg","Krosno","Swinoujscie","Sopot"
321.9124,99.5024,207.1291,173.515,357.9103,525.9594,555.5675,409.0178,427.0873,508.6784,20.7024,544.2883,74.8251,260.9321,364.3398,268.3748,29.9859,180.4646,12.8807,473.8571,0,79.6067,12.3563,343.6788,45.4865,10.0776,92.6645,42.6682,448.495,572.2235,36.4762,305.0872,231.1266,311.2914,182.194,16.9326,620.0508,232.386,233.781,415.8258,46.7483,641.1761,54.6936,210.3239,267.9918,410.0683,32.5116,324.1639,160.4131,601.7227,25.3487,278.397,37.6695,418.8843,458.1928,510.3216,347.231,479.2076,17.3288,433.4324,12.4586,260.2864,274.3902,270.1069,648.4354,542.1961
377.1909,121.6271,262.4075,250.5871,434.9823,581.2379,632.6395,464.2962,449.212,563.9568,60.0941,599.5667,130.1035,293.9736,419.6182,290.4995,64.9544,213.5062,85.5969,529.1355,79.6067,0,77.6531,418.6079,70.2789,69.9107,167.5937,38.2287,523.4241,627.7371,73.8418,360.6007,306.0557,366.8049,204.2821,63.0493,675.5643,287.8996,308.7102,471.3393,66.25,696.6897,52.5121,232.412,342.921,465.5818,58.2025,379.6774,215.9266,657.2362,64.0917,353.3262,54.8909,440.9723,513.7063,532.4096,369.319,534.7211,74.6349,488.946,67.3632,315.7999,296.4782,292.1949,723.3645,597.7097
310.9874,98.8372,196.2041,189.5833,404.8433,515.0344,571.6358,398.0927,426.4221,497.7533,20.8544,533.3632,63.9001,266.7213,353.4148,267.7096,29.5082,164.3211,31.6994,462.9321,12.3563,77.6531,0,350.5906,65.5626,12.6113,99.5764,40.2888,455.4068,561.8341,30.9465,294.6977,238.0384,300.9019,179.9775,14.0652,609.6613,221.9966,240.6929,405.4363,44.5318,630.7867,74.7696,208.1074,274.9037,399.6788,30.2951,313.7744,150.0236,591.3332,15.0674,285.3089,57.7455,416.6677,447.8033,508.1051,345.0144,468.8181,7.4202,423.043,11.8831,249.8969,272.1736,267.8904,655.3472,531.8067
456.2888,439.5931,350.5068,188.5116,151.8522,458.818,219.3978,282.2738,622.3754,643.0547,364.0032,477.1468,416.7443,507.8923,331.6368,608.4655,376.3137,510.0186,333.6314,499.9151,343.6788,418.6079,350.5906,0,359.3648,353.7164,268.7274,384.1727,112.1999,504.7513,383.8026,373.1167,173.3553,342.6692,523.6985,366.6424,370.1688,290.0034,110.6712,364.3533,388.2527,435.894,388.2908,551.8283,173.3178,544.1582,374.0161,249.2846,408.4179,735.8126,370.8433,110.3638,371.2667,714.6509,592.2827,698.2958,688.7354,613.2975,362.1813,567.5224,360.5137,394.3763,615.8946,611.6113,312.1403,474.7239
368.9696,134.7811,254.1863,188.8408,373.236,573.0166,570.8932,456.0749,462.366,555.7355,59.1912,591.3454,121.8822,307.3473,411.3969,303.6535,71.5017,226.8798,26.2367,520.9143,45.4865,70.2789,65.5626,359.3648,0,48.6889,107.5922,49.116,463.4227,620.8484,78.7751,353.712,246.0542,359.9162,218.6709,61.6149,612.0731,281.0109,248.7087,464.4506,83.2252,689.801,20.4316,246.8008,282.9195,458.6931,68.9885,372.7887,209.0379,650.3475,65.8158,293.3247,15.9027,455.3612,506.8176,546.7985,383.7079,527.8324,67.7792,482.0573,55.6379,308.9112,310.8671,306.5838,663.363,590.821
319.7484,90.8959,204.9651,183.1923,367.5875,523.7954,565.2448,406.8537,418.4807,506.5143,15.306,542.1242,72.6611,263.462,362.1757,259.7682,27.6165,182.9946,18.2021,471.6931,10.0776,69.9107,12.6113,353.7164,48.6889,0,101.7367,34.2133,457.5671,573.0686,33.8433,305.9322,240.1987,312.1364,173.7391,9.6423,606.2175,233.2311,242.8532,416.6708,38.2934,642.0212,57.1459,201.869,277.064,410.9133,24.0567,325.0089,161.2581,602.5677,20.884,287.4692,40.1218,410.4294,459.0378,501.8667,338.7761,480.0526,19.0588,434.2775,7.0459,261.1314,265.9353,261.652,657.5075,543.0412
337.8381,188.5789,223.0548,98.2033,282.5985,541.8851,480.2558,413.0201,516.1638,524.604,112.989,560.2139,94.1749,293.572,380.2654,357.4512,125.2995,280.6776,82.6172,489.7828,92.6645,167.5937,99.5764,268.7274,107.5922,101.7367,0,131.5051,372.0848,589.3438,131.135,322.2074,154.7164,328.4116,271.0309,113.9748,520.7352,159.2011,157.3709,432.946,135.5851,552.1232,135.6232,299.1608,191.5817,427.1885,121.3485,216.0712,177.5333,618.8429,118.1757,201.9869,118.5991,507.7211,475.313,599.1584,436.0678,496.3278,109.5137,450.5527,107.8461,277.4066,363.227,358.9437,572.0252,559.3164
340.2524,84.6886,225.4691,213.6486,398.0438,544.2994,595.7011,427.3577,412.2735,527.0183,23.1556,562.6282,93.165,257.0351,382.6797,253.561,28.0159,176.5677,48.6584,492.1971,42.6682,38.2287,40.2888,384.1727,49.116,34.2133,131.5051,0,487.2151,591.5281,37.6328,324.3917,269.8467,330.5959,168.0731,26.8403,639.3553,251.6906,272.5012,435.1303,30.041,660.4807,46.6229,196.203,306.712,429.3728,21.9935,343.4684,179.7176,621.0272,27.8827,317.1172,35.4647,404.7633,477.4973,496.2006,333.11,498.5121,38.4259,452.737,31.1542,279.5909,260.2692,255.9859,687.1555,561.5007
466.5195,544.4093,360.7376,293.3278,162.0829,469.0488,110.2621,292.5046,632.6062,653.2854,468.8194,487.3776,492.4041,518.123,341.8675,713.2817,481.1299,520.2493,438.4476,510.1459,448.495,523.4241,455.4068,112.1999,463.4227,457.5671,372.0848,487.2151,0,514.3894,486.8446,382.7548,276.3972,352.3073,626.7404,469.6843,259.9446,299.6415,213.7132,373.9914,491.2947,325.6699,491.3327,654.8703,276.3598,553.7963,477.058,258.9227,418.056,745.4507,473.8853,211.7007,474.3086,724.289,601.9208,707.934,791.7774,622.9356,465.2233,577.1605,463.5556,404.0144,642.6821,714.6533,201.9161,484.362
282.7167,646.9189,389.3918,534.0597,360.4147,65.6132,429.7224,217.5343,453.6017,372.309,571.8461,92.6107,495.5766,385.0497,220.6454,611.3099,570.4022,462.5534,586.8425,111.1968,572.2235,627.7371,561.8341,504.7513,620.8484,573.0686,589.3438,591.5281,514.3894,0,567.8981,245.2263,608.4473,272.8616,728.678,566.5265,259.612,388.4901,536.3291,170.5586,588.301,191.5107,629.3688,756.8079,598.9757,372.6613,581.4508,328.9162,421.4176,318.4135,567.1941,431.6131,612.3447,540.1902,265.4483,523.8352,680.586,441.8006,558.4849,241.7292,567.6386,299.2991,508.326,664.4286,424.1613,74.879
